NA_L3CODE,NAL3KEY,Density
10.2.4,10.2.4  Chihuahuan Desert,37
13.1.1,13.1.1  Arizona/New Mexico Mountains,0
6.2.14,6.2.14  Southern Rockies,0
8.3.7,8.3.7  South Central Plains,19
8.3.8,8.3.8  East Central Texas Plains,46
8.4.7,8.4.7  Arkansas Valley,20
8.4.8,8.4.8  Ouachita Mountains,20
9.2.4,9.2.4  Central Irregular Plains,20
9.4.1,9.4.1  High Plains,27
9.4.2,9.4.2  Central Great Plains,39
9.4.3,9.4.3  Southwestern Tablelands,39
9.4.5,9.4.5  Cross Timbers,59
9.4.6,9.4.6  Edwards Plateau,147
9.4.7,9.4.7  Texas Blackland Prairies,9
9.5.1,9.5.1  Western Gulf Coastal Plain,23
9.6.1,9.6.1  Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,29
